RegionID,SizeRank,RegionName,RegionType,StateName,BaseDate,2022-03-31,2022-05-31,2023-02-28
395227,884,"Williston, ND",Msa,ND,2022-02-28,1.0,4.3,11.3
394945,885,"Oskaloosa, IA",Msa,IA,2022-02-28,0.8,3.8,11.4
394418,886,"Brookings, OR",Msa,OR,2022-02-28,0.4,3.0,14.2
394687,887,"Hood River, OR",Msa,OR,2022-02-28,0.3,2.7,14.3
394371,888,"Beatrice, NE",Msa,NE,2022-02-28,0.8,3.8,13.5
394403,889,"Borger, TX",Msa,TX,2022-02-28,2.8,5.7,13.3
395014,890,"Raymondville, TX",Msa,TX,2022-02-28,2.8,5.8,14.1
394564,891,"Elk City, OK",Msa,OK,2022-02-28,2.7,6.0,16.4
394656,892,"Grenada, MS",Msa,MS,2022-02-28,1.5,6.2,19.1
394544,893,"Dumas, TX",Msa,TX,2022-02-28,3.2,6.8,17.1
394676,894,"Helena, AR",Msa,AR,2022-02-28,3.5,6.6,12.7
394965,895,"Parsons, KS",Msa,KS,2022-02-28,0.1,2.4,13.6
753914,897,"Port Lavaca, TX",Msa,TX,2022-02-28,3.3,6.8,17.1
395239,898,"Worthington, MN",Msa,MN,2022-02-28,0.3,3.2,12.8
394979,899,"Pierre, SD",Msa,SD,2022-02-28,3.0,6.4,16.3
394578,900,"Evanston, WY",Msa,WY,2022-02-28,3.2,6.5,16.3
394718,901,"Jamestown, ND",Msa,ND,2022-02-28,0.8,3.6,10.1
395004,902,"Prineville, OR",Msa,OR,2022-02-28,0.6,3.3,16.2
394659,905,"Guymon, OK",Msa,OK,2022-02-28,3.0,5.5,14.6
395135,908,"Storm Lake, IA",Msa,IA,2022-02-28,1.0,4.0,12.6
395236,909,"Woodward, OK",Msa,OK,2022-02-28,0.9,3.9,12.9
394996,910,"Portales, NM",Msa,NM,2022-02-28,3.0,6.9,17.3
394678,911,"Hereford, TX",Msa,TX,2022-02-28,3.4,7.6,20.5
753908,913,"Othello, WA",Msa,WA,2022-02-28,0.9,4.0,15.8
394805,914,"Los Alamos, NM",Msa,NM,2022-02-28,1.3,4.9,15.9
394594,915,"Fitzgerald, GA",Msa,GA,2022-02-28,3.5,7.7,18.1
394841,916,"Maysville, KY",Msa,KY,2022-02-28,1.1,4.4,13.9
394342,918,"Atchison, KS",Msa,KS,2022-02-28,0.5,3.1,12.4
395104,919,"Snyder, TX",Msa,TX,2022-02-28,2.5,6.2,16.1
753880,920,"Fairfield, IA",Msa,IA,2022-02-28,1.0,4.1,12.0
395111,921,"Spencer, IA",Msa,IA,2022-02-28,0.6,3.2,11.2
395112,921,"Spirit Lake, IA",Msa,IA,2022-02-28,1.0,4.2,13.2
753925,923,"Vineyard Haven, MA",Msa,MA,2022-02-28,0.3,2.8,13.2
753927,924,"Winnemucca, NV",Msa,NV,2022-02-28,3.4,6.9,16.4
395142,925,"Sweetwater, TX",Msa,TX,2022-02-28,0.1,3.1,11.1
394330,926,"Andrews, TX",Msa,TX,2022-02-28,2.3,6.1,17.1
753929,927,"Zapata, TX",Msa,TX,2022-02-28,3.0,5.8,15.0
395186,928,"Vermillion, SD",Msa,SD,2022-02-28,1.4,5.5,16.5
394767,929,"Lamesa, TX",Msa,TX,2022-02-28,1.6,5.8,17.0
753874,930,"Craig, CO",Msa,CO,2022-02-28,0.4,2.8,10.3
394968,931,"Pecos, TX",Msa,TX,2022-02-28,1.4,5.8,22.2
395188,932,"Vernon, TX",Msa,TX,2022-02-28,3.8,6.8,15.3
394743,933,"Ketchikan, AK",Msa,AK,2022-02-28,1.9,4.5,12.3
