GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
" ""01065""","Hale, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,1489,1944,2227,2369,2654,2751,3008,3425,3619,4185,4462,4819,5386,5865,6352,7186,8227,8829,9002,9758,10347,11216,11841,12653,13386,13923,14655,14771,15016,15485,16653,16325,17324,18657,20548,22142,23493,25537,26398,28068,28492,28908,30196,30820,31973,31903,33998,34675,35155,35615,37825,41190
" ""01067""","Henry, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,2051,2516,2650,3124,3719,4484,4888,5274,5437,5861,6189,6615,7690,8148,8441,10022,9848,10337,11037,12151,12999,13297,14322,15676,15341,16551,17267,17899,18762,18825,19717,19566,21375,22407,23100,23844,26218,26791,28672,30522,30238,30931,32509,33381,35198,36075,37957,39147,40614,42010,43738,45409
" ""01069""","Houston, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,2889,3200,3478,3739,4415,4623,4855,5575,6037,6646,7153,8150,9544,9731,10274,11411,12085,12873,13648,14786,16362,16535,17011,18228,18277,19445,20652,20928,21800,23251,24065,24872,26826,27549,28041,30154,31650,33514,34885,34781,33931,35542,36714,36913,36860,37758,39069,39814,40957,42611,44300,47072
" ""01071""","Jackson, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,2607,2831,3090,3368,3886,4370,4876,5608,5788,6449,6794,7157,8256,8500,8721,9395,10339,10796,11665,12641,13397,14753,15359,16062,16605,17217,17805,18334,19242,19585,20511,22011,22173,22297,23462,25100,26482,27348,28691,29654,28718,29620,30489,31244,32293,33145,34073,34584,35430,36672,38002,40089
" ""01073""","Jefferson, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,3410,3635,3923,4332,4797,5428,5962,6522,7118,7910,8726,9538,10373,10982,11603,12668,13602,14386,15145,16280,17746,18969,19667,20781,21525,22745,24022,25082,26257,28000,29060,31334,31491,32565,33810,36306,38018,40399,41498,42483,40325,42213,43532,45701,45099,46784,49035,49765,52485,54777,56599,58424
" ""01075""","Lamar, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,2049,2397,2622,2669,3189,3392,3620,4306,4918,5777,6422,6960,7685,7942,8718,9731,10410,10606,11041,11828,12822,13512,14041,14800,15314,15790,16884,17233,17697,18702,18818,19059,20156,20351,20831,21244,22511,23217,24599,25312,25184,26722,28106,29268,29401,30093,31347,31808,32270,33022,34549,37161
" ""01077""","Lauderdale, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,2841,3087,3385,3681,3954,4321,4697,5293,5742,6446,7065,7832,8700,9073,9638,10470,11129,11834,12554,13671,14621,15927,16423,17387,17815,18786,19805,20246,20676,21178,21652,22338,23392,23563,24343,25808,27233,28414,29827,30122,29614,31127,31998,32581,32601,33971,34935,35220,35567,36712,38135,40729
" ""01079""","Lawrence, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,2368,2787,2865,2934,3408,3447,4031,4342,4663,5104,6145,6577,7383,7520,7760,8960,9713,10328,10401,11123,12040,12948,13766,14761,15090,16349,16561,16988,17361,19136,19750,19891,20686,20343,21832,23558,24127,25034,26758,27727,27301,27755,28386,29394,31319,32107,31969,31137,32520,33900,35414,38098
" ""01081""","Lee, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,2748,2770,3061,3446,3769,3967,4377,4920,5527,6176,6650,7459,8064,8422,9317,10195,10833,11267,12015,12705,13975,14404,14940,15957,16466,17251,17953,18321,18942,19656,20324,20951,21333,22128,23370,25147,26092,27429,28629,30152,29209,30101,31165,32387,32237,33610,34886,36056,37145,38184,40439,42468
" ""01083""","Limestone, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,2755,3066,3395,3543,3888,4183,4507,4983,5435,6081,7062,7543,8613,9093,9507,11032,12081,12695,13259,14783,14939,15772,16524,17597,17715,18608,19123,19574,20085,21370,21604,22599,23020,23437,25370,26086,27612,29363,30877,33080,32900,34196,35858,36734,36924,37359,38497,39698,41539,43495,44841,47695
" ""01085""","Lowndes, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,1551,2131,2341,2880,3471,3110,3551,4441,3894,4551,5297,5153,5482,6248,6772,7176,7889,8272,8948,10115,10977,10938,11629,12081,12638,13414,13830,14526,15461,15897,16894,17704,19226,19116,20424,23249,24300,25492,27921,28711,29552,30920,31003,33556,35433,36475,37876,37133,38990,39544,41449,44921
" ""01087""","Macon, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,2133,2459,2699,2904,3237,3500,3551,3864,4128,4612,5188,5615,6040,6401,7174,7954,8557,8954,9223,9721,10303,10850,11708,12273,12765,13690,14427,14870,15131,15359,15745,16064,16790,17208,18231,19975,20842,21884,22908,24261,25360,25560,26220,26753,27587,28536,29624,30675,31170,32321,34213,37834
" ""01089""","Madison, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,3863,4163,4544,4919,5260,5711,6065,6654,7197,8063,8730,9539,10565,11451,12466,13938,15092,16067,17181,18210,19554,20547,21245,22394,22238,22541,23722,24636,26193,27489,27972,29802,30200,30727,31913,33835,35721,37584,39481,41265,40559,42038,43776,44505,44326,45478,47175,48385,49701,51759,54169,57128
" ""01091""","Marengo, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,1845,2259,2451,2621,2972,3170,3562,4184,4306,5105,5831,6255,7041,7615,8078,8550,9125,9846,10404,11129,12108,13176,14119,15043,15628,16762,17402,18196,18862,20044,21374,21647,21935,22488,22901,25187,26912,28298,28968,29583,29119,30547,31701,32886,33499,34677,35783,36336,36931,39217,40297,43854
" ""01093""","Marion, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,2298,2574,2714,3026,3369,3393,3642,4207,4640,5310,5904,6268,6959,7593,8020,8817,9294,9722,10248,10837,11660,12060,12807,13855,14597,15465,16584,16981,17603,18640,19003,18613,18899,19431,19999,22069,23690,23845,25048,25282,24998,25687,25991,27349,27954,29296,30441,30460,31708,32459,33433,36330
" ""01095""","Marshall, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,2784,3026,3239,3637,4059,4275,4837,5319,5673,6326,7084,7710,8489,8775,9502,10544,11168,11939,12266,13239,14607,15305,16182,17544,18385,19187,20356,20222,20329,21197,21250,21907,23347,23352,24464,25757,26667,27155,28278,28868,29044,29798,29794,31092,31401,32486,34512,33990,34901,35990,37913,40045
" ""01097""","Mobile, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,2731,2986,3180,3506,3931,4426,4977,5489,5969,6603,7247,8153,8934,9245,9548,10279,11000,11413,11778,12548,13706,14576,15448,16373,16856,17542,18341,19082,19839,21316,21410,22057,23129,23556,24179,25265,27263,29905,30670,31646,30686,32009,33816,33559,34014,34704,36151,36315,37061,38195,40003,42823
" ""01099""","Monroe, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,2019,2325,2466,2705,3077,3418,3607,4134,4465,5799,6176,6271,7059,7402,8223,8700,9161,9597,10131,10790,11826,13143,14734,14830,15017,15881,16411,17222,18143,18657,19076,19392,20281,19927,21069,23136,24004,24664,25833,27326,26335,27308,27352,27438,28675,29336,31165,31389,32028,32808,34489,38192
" ""01101""","Montgomery, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,3440,3704,4158,4639,5107,5623,6065,6556,7168,7983,8596,9343,10299,10926,11955,12967,13871,14642,15546,16609,17967,18848,19432,20595,21135,22141,23155,23923,24848,26132,27117,28390,28342,29538,30853,32825,34084,35322,35772,35953,35214,35807,37503,37507,37895,38948,40538,41576,42517,43442,44597,47776
" ""01103""","Morgan, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,3341,3535,3705,3990,4344,4670,5249,5741,6320,7035,7797,8414,9445,9968,10790,12106,13057,13711,14406,15631,16805,17562,18243,19262,19668,20655,21517,22211,22950,24024,24617,25223,25729,25881,26918,28426,29511,30728,31762,32540,31570,32523,33063,33880,34393,35924,36684,37006,38275,39908,41895,44679
" ""01105""","Perry, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,1507,1969,2149,2460,2778,2877,2950,3289,3292,4054,4581,4601,5412,5634,6011,6434,7004,7185,7785,8427,9247,10212,11124,12360,12519,13202,13464,14100,15081,15461,16627,17308,17476,17658,19133,20644,22591,23164,23670,24621,24510,26116,26793,26872,28104,26803,28571,29267,30717,30795,32198,36217
" ""01107""","Pickens, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,2017,2273,2519,2774,3091,3342,3771,4133,4556,4959,5382,5778,6338,6690,7039,7797,8114,8748,9157,9859,11000,12049,12613,13616,14277,14871,15388,16235,17132,17838,19046,19017,20349,20599,22070,23808,25936,25459,27219,27854,28305,29081,29354,31000,32025,30858,31184,31125,32281,32981,34590,36861
" ""01109""","Pike, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,2339,2507,2769,3221,3514,3889,4135,4536,4941,5684,6207,6351,7168,7579,8083,9066,9762,10302,10876,11995,13234,13984,14446,15584,16243,17278,17915,18638,19324,19851,21213,21092,22110,23035,24088,25999,27371,27979,29252,29839,30129,31795,32322,31648,30906,33455,34727,35070,36110,36785,38057,40342
" ""01111""","Randolph, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,2085,2243,2234,2735,3213,3355,4012,4425,4897,5553,5827,6425,7354,7975,8264,8787,9388,10097,10861,11518,12412,12919,13343,13883,14744,15469,15667,16209,17185,17915,17985,18355,19455,20115,21182,23006,23761,24679,26639,27818,27114,27650,26489,27812,28676,30559,32034,31157,32032,32974,33708,35208
" ""01113""","Russell, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,2864,3050,3270,3492,3741,4074,4170,4584,4953,5606,6184,6926,7791,8255,8995,9900,10501,10956,11492,12121,13183,13597,14033,14811,15232,15525,16580,16612,17866,18571,19082,19832,21584,22182,23324,23759,24527,25238,25691,26148,26551,28391,29558,29159,28758,29104,30406,31066,32569,32270,33796,36526
